file_name,trend,seasonal,stationary,pattern,shifting,dataset_name,type_value,train_lens,time_steps,if_univariate,size
CalIt2.csv,,,,,,Multi,,2520,,FALSE,large
CICIDS.csv,,,,,,Multi,,85115,,FALSE,large
Creditcard.csv,,,,,,Multi,,142403,,FALSE,large
GECCO.csv,,,,,,Multi,,69260,,FALSE,large
Genesis.csv,,,,,,Multi,,3604,,FALSE,large
IMU.csv,,,,,,Multi,,200000,,FALSE,large
MSL.csv,,,,,,Multi,,58317,,FALSE,large
NYC.csv,,,,,,Multi,,13104,,FALSE,large
PSM.csv,,,,,,Multi,,132481,,FALSE,large
SMD.csv,,,,,,Multi,,708405,,FALSE,large
SWAT.csv,,,,,,Multi,,495000,,FALSE,large
SMAP.csv,,,,,,Multi,,135183,,FALSE,large
ASD_dataset_1.csv,,,,,,Multi,,8640,,FALSE,large
ASD_dataset_10.csv,,,,,,Multi,,8640,,FALSE,large
ASD_dataset_11.csv,,,,,,Multi,,8640,,FALSE,large
ASD_dataset_12.csv,,,,,,Multi,,7291,,FALSE,large
ASD_dataset_2.csv,,,,,,Multi,,8640,,FALSE,large
ASD_dataset_3.csv,,,,,,Multi,,8640,,FALSE,large
ASD_dataset_4.csv,,,,,,Multi,,8640,,FALSE,large
ASD_dataset_5.csv,,,,,,Multi,,8640,,FALSE,large
ASD_dataset_6.csv,,,,,,Multi,,8640,,FALSE,large
ASD_dataset_7.csv,,,,,,Multi,,8640,,FALSE,large
ASD_dataset_8.csv,,,,,,Multi,,8640,,FALSE,large
ASD_dataset_9.csv,,,,,,Multi,,8640,,FALSE,large
synthetic_con0.0494.csv,,,,,,,contextual,20000,,FALSE,user
synthetic_con0.072.csv,,,,,,,contextual,20000,,FALSE,user
synthetic_glo0.048.csv,,,,,,,global,20000,,FALSE,user
synthetic_glo0.0718.csv,,,,,,,global,20000,,FALSE,user
synthetic_sea0.0482.csv,,,,,,,seasonal,20000,,FALSE,user
synthetic_sea0.0774.csv,,,,,,,seasonal,20000,,FALSE,user
synthetic_sha0.049.csv,,,,,,,shapelet,20000,,FALSE,user
synthetic_sha0.0742.csv,,,,,,,shapelet,20000,,FALSE,user
synthetic_sub_mix0.0574.csv,,,,,,,mix,20000,,FALSE,user
synthetic_sub_mix0.089.csv,,,,,,,mix,20000,,FALSE,user
synthetic_tre0.0482.csv,,,,,,,trend,20000,,FALSE,user
synthetic_tre0.0778.csv,,,,,,,trend,20000,,FALSE,user
